model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
similarity,bf_u0,0.628205128,0.115021628,0.468442914,0.850890315,500000,1.56E-04,1.76E-05,2,1172
non-monotonic_attraction,bf_00',0.628649621,0.007443417,0.616446541,0.640911561,500000,0.024056,2.16E-04,9,1722
attraction,bf_0u,0.628699386,0.004771765,0.620937433,0.636467341,500000,0.054468,3.20E-04,2,1843
repulsion,bf_u0,0.628740788,0.003589088,0.623035304,0.634986799,500000,0.138674,4.95E-04,9,2902
attraction,bf_u0,0.62876839,0.003646777,0.622870788,0.634821992,500000,0.138388,4.80E-04,2,2171
repulsion,bf_00',0.628996487,0.004942633,0.621222795,0.637185896,500000,0.05647,3.28E-04,5,2163
repulsion,bf_0u,0.629277042,0.004700923,0.621653259,0.636843555,500000,0.054732,3.24E-04,9,2481
similarity,bf_u0,0.62962963,0.14414476,0.438583962,0.914053022,500000,1.08E-04,1.47E-05,2,1031
repulsion,bf_u0,0.630446133,0.00365971,0.624647905,0.636471505,500000,0.137896,4.85E-04,14,1302
non-monotonic_attraction,bf_u0,0.630619846,0.005765234,0.621449829,0.640328103,500000,0.060144,3.34E-04,5,831
attraction,bf_0u,0.630626927,0.004588921,0.623043887,0.638059001,500000,0.055224,3.18E-04,2,1392
non-monotonic_attraction,bf_0u,0.6306611,0.007346174,0.618378913,0.64275096,500000,0.023868,2.17E-04,2,201
attraction,bf_0u,0.630933727,0.004734285,0.623059451,0.638623917,500000,0.05476,3.25E-04,2,1392
attraction,bf_u0,0.63118887,0.003647323,0.624967867,0.637094761,500000,0.138434,4.95E-04,2,783
non-monotonic_attraction,bf_00',0.631193988,0.007393643,0.619227217,0.643140492,500000,0.024238,2.19E-04,5,583
attraction,bf_0u,0.631296203,0.004670721,0.623643189,0.639126615,500000,0.054996,3.25E-04,9,521
repulsion,bf_u0,0.631322005,0.003608869,0.625464193,0.637250354,500000,0.13888,4.96E-04,2,3843
attraction,bf_u0,0.631455603,0.003621893,0.625328903,0.637217984,500000,0.138252,4.87E-04,2,2171
attraction,bf_u0,0.631655726,0.003605087,0.625848192,0.637496753,500000,0.139842,4.85E-04,2,3851
non-monotonic_repulsion,bf_0u,0.631709899,0.007147085,0.620070993,0.643389237,500000,0.023866,2.16E-04,9,3932
repulsion,bf_00',0.632426459,0.004883673,0.624591782,0.64038872,500000,0.057314,3.28E-04,2,2281
non-monotonic_attraction,bf_u0,0.63243353,0.005720205,0.622985359,0.6421338,500000,0.059124,3.36E-04,14,983
non-monotonic_attraction,bf_0u,0.632598,0.007156829,0.620517917,0.643936685,500000,0.023916,2.16E-04,2,1936
non-monotonic_repulsion,bf_00',0.632742172,0.007364055,0.620817865,0.64489505,500000,0.024378,2.18E-04,9,1482
non-monotonic_attraction,bf_00',0.63328966,0.007588972,0.620879574,0.645778626,500000,0.024142,2.19E-04,5,1733
non-monotonic_repulsion,bf_00',0.633577623,0.007472327,0.621167931,0.645817015,500000,0.024528,2.20E-04,9,323
non-monotonic_attraction,bf_0u,0.633582206,0.007213624,0.621470319,0.645076482,500000,0.02427,2.16E-04,5,2156
attraction,bf_00',0.633802443,0.004978538,0.625717792,0.642124959,500000,0.057326,3.24E-04,2,2541
non-monotonic_attraction,bf_0u,0.634267847,0.007257176,0.622618303,0.646186714,500000,0.023936,2.17E-04,9,3401
non-monotonic_attraction,bf_0u,0.634801575,0.007467527,0.62286611,0.647603783,500000,0.023866,2.17E-04,5,1123
attraction,bf_0u,0.63485267,0.004582746,0.627658403,0.642731272,500000,0.055156,3.23E-04,2,3153
non-monotonic_attraction,bf_0u,0.635403112,0.007245281,0.623609458,0.647295562,500000,0.024416,2.15E-04,5,2593
non-monotonic_repulsion,bf_0u,0.635479121,0.007290419,0.623945179,0.647777774,500000,0.024166,2.20E-04,2,1331
non-monotonic_repulsion,bf_u0,0.63620333,0.005956501,0.626658473,0.646230273,500000,0.058978,3.30E-04,14,3943
non-monotonic_attraction,bf_00',0.63634264,0.007332736,0.624405272,0.648448809,500000,0.024372,2.17E-04,14,82
similarity,bf_00',0.636348363,0.191361661,0.402841576,1.013816401,500000,4.20E-05,9.28E-06,2,1101
similarity,bf_u0,0.636363636,0.138128041,0.447676577,0.898744155,500000,1.10E-04,1.48E-05,2,1071
similarity,bf_0u,0.636363636,0.19135497,0.402860692,1.01381572,500000,4.20E-05,9.28E-06,2,1101
repulsion,bf_0u,0.636398834,0.00481546,0.628583179,0.644254403,500000,0.055886,3.24E-04,14,3626
attraction,bf_u0,0.636520342,0.003694057,0.630604865,0.642620686,500000,0.13691,4.87E-04,5,1983
repulsion,bf_00',0.63664927,0.00505476,0.628388885,0.645124492,500000,0.057054,3.33E-04,2,2052
non-monotonic_repulsion,bf_00',0.636764796,0.007404831,0.624628136,0.64864142,500000,0.024448,2.23E-04,2,2961
non-monotonic_attraction,bf_0u,0.637582825,0.007326811,0.625579868,0.649646428,500000,0.024056,2.16E-04,9,1722
attraction,bf_0u,0.637838087,0.004740081,0.629934245,0.64548112,500000,0.055372,3.26E-04,2,3153
non-monotonic_attraction,bf_u0,0.638216989,0.005706934,0.628895726,0.647464204,500000,0.05945,3.31E-04,2,916
repulsion,bf_00',0.638712306,0.00523791,0.630031887,0.647283856,500000,0.057246,3.31E-04,14,1983
similarity,bf_00',0.638872277,0.178520961,0.413362222,0.990505046,500000,4.60E-05,9.85E-06,5,886
similarity,bf_0u,0.638888889,0.178514353,0.413382995,0.990505672,500000,4.60E-05,9.85E-06,5,886
repulsion,bf_0u,0.638900344,0.004769278,0.631283875,0.646646643,500000,0.055776,3.26E-04,5,1251
non-monotonic_attraction,bf_00',0.639020679,0.007485762,0.627053035,0.651546577,500000,0.024476,2.16E-04,14,971
non-monotonic_repulsion,bf_00',0.639691961,0.007483738,0.627420855,0.652212624,500000,0.024772,2.19E-04,5,141
attraction,bf_u0,0.639753733,0.003719092,0.633780226,0.646036554,500000,0.136762,4.90E-04,5,481
repulsion,bf_0u,0.639872481,0.004760507,0.631931388,0.647560708,500000,0.0562,3.24E-04,5,282
non-monotonic_repulsion,bf_u0,0.640113702,0.005865076,0.630609675,0.649660294,500000,0.059102,3.33E-04,9,1246
non-monotonic_attraction,bf_0u,0.640133108,0.0072765,0.628348233,0.651885118,500000,0.024238,2.19E-04,5,583
repulsion,bf_00',0.640261682,0.004978595,0.632212497,0.648359379,500000,0.057744,3.29E-04,2,481
non-monotonic_repulsion,bf_u0,0.640384291,0.005935647,0.631064402,0.650717798,500000,0.05933,3.34E-04,9,152
attraction,bf_0u,0.640433163,0.004744253,0.632758508,0.64836746,500000,0.05571,3.21E-04,9,1493
repulsion,bf_u0,0.640807181,0.003807411,0.634621821,0.647323433,500000,0.135682,0.000485313,14,201
attraction,bf_00',0.640983379,0.005128512,0.632445097,0.649512629,500000,0.057778,3.30E-04,2,2541
attraction,bf_u0,0.641116213,0.003692259,0.635060532,0.646982182,500000,0.135888,4.82E-04,2,902
non-monotonic_repulsion,bf_0u,0.641695183,0.007247847,0.629991885,0.653559725,500000,0.024378,2.18E-04,9,1482
non-monotonic_repulsion,bf_u0,0.641953167,0.005776372,0.632337262,0.651700877,500000,0.059104,3.33E-04,5,1023
attraction,bf_00',0.642135291,0.005008357,0.634036869,0.650525358,500000,0.058218,3.31E-04,2,1832
non-monotonic_attraction,bf_0u,0.642142781,0.007468831,0.62993442,0.654405908,500000,0.024142,2.19E-04,5,1733
non-monotonic_repulsion,bf_0u,0.642565231,0.007349801,0.630380949,0.654643344,500000,0.024528,2.20E-04,9,323
repulsion,bf_0u,0.642624306,0.004751946,0.634833394,0.650388423,500000,0.055988,3.21E-04,5,201
non-monotonic_attraction,bf_u0,0.642832972,0.005807212,0.633649254,0.65249821,500000,0.059104,3.30E-04,9,3972
similarity,bf_00',0.642837856,0.16595298,0.42943517,0.959819004,500000,5.40E-05,1.06E-05,2,826
similarity,bf_0u,0.642857143,0.165945861,0.429460197,0.959821832,500000,5.40E-05,1.06E-05,2,826
similarity,bf_u0,0.642857143,0.1406659,0.450332671,0.909470866,500000,1.12E-04,1.46E-05,2,2103
non-monotonic_repulsion,bf_u0,0.643036941,0.005982458,0.633484402,0.65318183,500000,0.058796,3.34E-04,9,2081
non-monotonic_attraction,bf_u0,0.643273459,0.005927874,0.633212446,0.65274732,500000,0.058678,3.31E-04,9,1403
non-monotonic_repulsion,bf_00',0.643441675,0.007697458,0.631103113,0.655978883,500000,0.024386,2.19E-04,5,2143
repulsion,bf_u0,0.644300273,0.003624722,0.638099994,0.650125741,500000,0.135024,4.79E-04,14,1433
attraction,bf_00',0.64498723,0.005058813,0.636636183,0.653382189,500000,0.057916,3.32E-04,9,3251
non-monotonic_attraction,bf_0u,0.645205697,0.007212826,0.633480858,0.657103891,500000,0.024372,2.17E-04,14,82
attraction,bf_u0,0.645441712,0.003794077,0.639350348,0.65170091,500000,0.13459,4.74E-04,2,902
non-monotonic_repulsion,bf_0u,0.64564517,0.007284896,0.63369397,0.657304327,500000,0.024448,2.23E-04,2,2961
non-monotonic_repulsion,bf_00',0.646109565,0.007701303,0.633418784,0.65893537,500000,0.024478,2.17E-04,14,963
non-monotonic_attraction,bf_u0,0.646113513,0.005811677,0.636432043,0.65541658,500000,0.058742,3.31E-04,14,3372
non-monotonic_attraction,bf_00',0.646366889,0.007571754,0.634255681,0.659280085,500000,0.024688,2.18E-04,5,3073
attraction,bf_u0,0.646480546,0.003921404,0.639958178,0.65280229,500000,0.13468,4.78E-04,2,1043
repulsion,bf_0u,0.646595593,0.004755941,0.638800566,0.654230829,500000,0.056162,3.27E-04,9,3196
non-monotonic_attraction,bf_u0,0.646838631,0.005781801,0.63729377,0.65604485,500000,0.058772,3.29E-04,14,3172
repulsion,bf_0u,0.646875215,0.004739627,0.639262487,0.654866636,500000,0.05637,3.25E-04,2,3172
repulsion,bf_u0,0.64708863,0.00379656,0.641053621,0.653553446,500000,0.134198,4.88E-04,2,2453
attraction,bf_00',0.647309897,0.005107108,0.638732653,0.655562751,500000,0.05814,3.31E-04,5,902
attraction,bf_u0,0.647469459,0.00381857,0.641335626,0.65364328,500000,0.134082,4.85E-04,2,513
repulsion,bf_0u,0.647808801,0.004825596,0.639845839,0.655670458,500000,0.056704,3.31E-04,9,3501
non-monotonic_attraction,bf_0u,0.647856008,0.007364018,0.636082246,0.660158781,500000,0.024476,2.16E-04,14,971
repulsion,bf_00',0.648172093,0.005032498,0.639843156,0.656557254,500000,0.058344,3.28E-04,5,261
repulsion,bf_u0,0.648404137,0.003789134,0.642190894,0.65456074,500000,0.13441,4.91E-04,14,983
non-monotonic_repulsion,bf_u0,0.648419903,0.005957667,0.638676922,0.65829,500000,0.058604,3.30E-04,2,393
attraction,bf_u0,0.648439719,0.003811784,0.642402842,0.654823559,500000,0.133758,4.79E-04,2,513
non-monotonic_repulsion,bf_0u,0.648617512,0.007360243,0.636514207,0.660883258,500000,0.024772,2.19E-04,5,141
repulsion,bf_u0,0.648889087,0.003817166,0.642777576,0.655294774,500000,0.134664,4.80E-04,9,1326
attraction,bf_00',0.649127942,0.005087103,0.640620483,0.657621371,500000,0.058396,3.30E-04,2,1773
attraction,bf_0u,0.64927576,0.004809121,0.641204567,0.65713567,500000,0.056748,3.28E-04,5,1773
non-monotonic_attraction,bf_u0,0.649337726,0.005981197,0.639614168,0.659325794,500000,0.058284,3.36E-04,14,3712
repulsion,bf_00',0.649438881,0.004968889,0.641333517,0.65712056,500000,0.058356,3.35E-04,2,3113
non-monotonic_repulsion,bf_u0,0.649725228,0.005946831,0.639852143,0.659592751,500000,0.058594,3.31E-04,2,1196
repulsion,bf_00',0.649811865,0.005233419,0.641232328,0.658796266,500000,0.058194,3.35E-04,5,2171
repulsion,bf_0u,0.649947056,0.004757425,0.642422141,0.657863352,500000,0.05647,3.28E-04,5,2163
non-monotonic_repulsion,bf_u0,0.649993038,0.005803167,0.640487884,0.659512179,500000,0.057456,3.29E-04,2,3126
attraction,bf_u0,0.650647061,0.003856605,0.644404855,0.656947036,500000,0.133836,4.79E-04,14,2961
repulsion,bf_u0,0.650973977,0.003890837,0.644590881,0.657534625,500000,0.133268,4.86E-04,14,3003
non-monotonic_attraction,bf_u0,0.650978629,0.005966805,0.641479766,0.661080754,500000,0.057836,3.33E-04,9,201
attraction,bf_u0,0.651305131,0.003811035,0.645279893,0.65779812,500000,0.13332,4.74E-04,5,556
repulsion,bf_00',0.651576388,0.005186304,0.643188342,0.660203326,500000,0.05848,3.36E-04,14,2886
non-monotonic_repulsion,bf_u0,0.651848774,0.006049681,0.641670113,0.661590819,500000,0.057768,3.30E-04,2,3956
non-monotonic_repulsion,bf_0u,0.652136706,0.007570442,0.639969669,0.66449449,500000,0.024386,2.19E-04,5,2143
attraction,bf_u0,0.652200535,0.003852978,0.64590661,0.658472998,500000,0.133922,4.87E-04,2,1043
repulsion,bf_u0,0.653109077,0.003723926,0.646998525,0.659299761,500000,0.133062,4.76E-04,14,693
repulsion,bf_0u,0.653493569,0.004695784,0.645965604,0.66116115,500000,0.057314,3.28E-04,2,2281
non-monotonic_repulsion,bf_u0,0.653631094,0.006000919,0.643709989,0.663160971,500000,0.05866,3.25E-04,14,1302
similarity,bf_00',0.653834384,0.215143481,0.381539591,1.09085161,500000,3.40E-05,8.42E-06,9,3273
similarity,bf_0u,0.653846154,0.215137229,0.38155442,1.090847013,500000,3.40E-05,8.42E-06,9,3273
non-monotonic_repulsion,bf_u0,0.653994778,0.00592672,0.644338705,0.663854222,500000,0.05745,3.27E-04,5,2121
attraction,bf_00',0.654110553,0.005130652,0.645563984,0.662627284,500000,0.059142,3.37E-04,2,191
repulsion,bf_00',0.654111283,0.005136677,0.645739744,0.66259906,500000,0.058658,3.29E-04,2,273
non-monotonic_attraction,bf_00',0.654207593,0.007804757,0.641343965,0.666879128,500000,0.02516,2.21E-04,2,2661
attraction,bf_u0,0.65423434,0.00384852,0.647878267,0.660545354,500000,0.133362,4.81E-04,2,412
non-monotonic_attraction,bf_00',0.654410754,0.007600711,0.641546618,0.666740062,500000,0.024958,2.24E-04,9,141
repulsion,bf_u0,0.654424418,0.003851374,0.648094168,0.660746968,500000,0.132492,4.81E-04,9,3803
non-monotonic_repulsion,bf_u0,0.654582763,0.005904745,0.645226379,0.664384043,500000,0.05848,3.34E-04,2,2933
repulsion,bf_u0,0.654644498,0.003736001,0.648585394,0.660809427,500000,0.133642,4.85E-04,14,323
non-monotonic_repulsion,bf_0u,0.654772095,0.007572933,0.642250707,0.667344225,500000,0.024478,2.17E-04,14,963
attraction,bf_0u,0.654795084,0.004786651,0.64706509,0.662842975,500000,0.057326,3.24E-04,2,2541
attraction,bf_00',0.654804289,0.004996574,0.646925275,0.662998778,500000,0.058768,3.34E-04,2,1832
non-monotonic_attraction,bf_0u,0.655097384,0.007445848,0.643219333,0.667763377,500000,0.024688,2.18E-04,5,3073
non-monotonic_repulsion,bf_u0,0.655454008,0.0060297,0.645679393,0.665519283,500000,0.057554,3.31E-04,14,1856
non-monotonic_repulsion,bf_u0,0.656018888,0.005944133,0.646245608,0.666079819,500000,0.057602,3.31E-04,2,3321
repulsion,bf_00',0.656481048,0.005099313,0.648363202,0.665094744,500000,0.059218,3.30E-04,9,1441
repulsion,bf_00',0.656849743,0.005141579,0.648551635,0.66547043,500000,0.05867,3.35E-04,2,3766
non-monotonic_attraction,bf_u0,0.657033559,0.005826573,0.647588045,0.666726613,500000,0.05751,3.31E-04,14,201
similarity,bf_00',0.657127085,0.188413796,0.421046599,1.02420215,500000,4.60E-05,9.77E-06,5,2103
similarity,bf_0u,0.657142857,0.188406513,0.42106307,1.024200738,500000,4.60E-05,9.77E-06,5,2103
attraction,bf_00',0.657252009,0.005096262,0.649024415,0.665461464,500000,0.058944,3.36E-04,5,2803
repulsion,bf_0u,0.657379882,0.004860174,0.649400782,0.665550979,500000,0.057054,3.33E-04,2,2052
non-monotonic_repulsion,bf_u0,0.65739738,0.006044622,0.64788211,0.667490602,500000,0.05725,3.26E-04,5,3091
non-monotonic_attraction,bf_u0,0.657476103,0.005884356,0.648021051,0.667319034,500000,0.057958,3.35E-04,2,1143
attraction,bf_00',0.657498045,0.005120254,0.649281687,0.666027894,500000,0.058948,3.32E-04,9,1983
attraction,bf_00',0.65789038,0.005040678,0.649759631,0.666284469,500000,0.059044,3.30E-04,2,1381
non-monotonic_repulsion,bf_u0,0.657934911,0.00602812,0.647644498,0.66780808,500000,0.057644,3.35E-04,2,3886
attraction,bf_u0,0.657964515,0.00391369,0.65159346,0.66451325,500000,0.131998,4.79E-04,2,412
repulsion,bf_u0,0.658227464,0.003737545,0.651895652,0.664280948,500000,0.131924,4.84E-04,9,2223
non-monotonic_repulsion,bf_u0,0.658587734,0.006083134,0.648349938,0.668815439,500000,0.058176,3.29E-04,5,1452
non-monotonic_attraction,bf_u0,0.658600736,0.006023379,0.648536647,0.668399566,500000,0.05703,3.21E-04,14,2223
attraction,bf_00',0.658624557,0.005069893,0.650357507,0.667258882,500000,0.058822,3.30E-04,2,1381
repulsion,bf_00',0.659356646,0.005137765,0.650951654,0.667780332,500000,0.059504,3.38E-04,2,371
repulsion,bf_00',0.659369429,0.005122516,0.651117273,0.667793347,500000,0.05869,3.31E-04,9,436
repulsion,bf_0u,0.659394582,0.005034351,0.651110153,0.667641844,500000,0.057246,3.31E-04,14,1983
similarity,bf_u0,0.660377358,0.150777078,0.464403823,0.948358106,500000,1.06E-04,1.48E-05,14,1722
non-monotonic_attraction,bf_00',0.660747894,0.007506894,0.648589972,0.673762329,500000,0.025652,2.24E-04,5,2121
repulsion,bf_00',0.660781097,0.005101642,0.652624066,0.669251666,500000,0.059434,3.35E-04,5,3202
non-monotonic_attraction,bf_00',0.660965244,0.00766189,0.648553672,0.67350234,500000,0.02526,2.19E-04,9,3196
repulsion,bf_0u,0.661034412,0.004781948,0.653278884,0.66883077,500000,0.057744,3.29E-04,2,481
repulsion,bf_00',0.661106054,0.00508278,0.652849737,0.669465212,500000,0.059286,3.32E-04,5,3531
attraction,bf_00',0.661457658,0.005124065,0.652899089,0.669719603,500000,0.059032,3.33E-04,2,1773
repulsion,bf_u0,0.661507799,0.003919389,0.655089598,0.668217413,500000,0.132458,4.80E-04,9,532
repulsion,bf_u0,0.661592274,0.003835451,0.655290371,0.668072718,500000,0.13151,4.79E-04,5,923
attraction,bf_0u,0.661726642,0.004924817,0.653503347,0.66987818,500000,0.057778,3.30E-04,2,2541
repulsion,bf_u0,0.661966504,0.003800585,0.655737154,0.668073662,500000,0.132194,4.71E-04,9,2693
attraction,bf_u0,0.662092728,0.003870869,0.65580587,0.668650437,500000,0.132344,4.78E-04,2,1101
non-monotonic_attraction,bf_0u,0.66290773,0.007669952,0.650252328,0.675340987,500000,0.02516,2.21E-04,2,2661
attraction,bf_00',0.662936076,0.00521593,0.654220734,0.671465296,500000,0.059788,3.30E-04,2,1941
attraction,bf_0u,0.662969458,0.004806662,0.655180903,0.671033537,500000,0.058218,3.31E-04,2,1832
non-monotonic_attraction,bf_0u,0.66303597,0.007468448,0.650406619,0.675150224,500000,0.024958,2.24E-04,9,141
attraction,bf_00',0.663559528,0.005238879,0.654869545,0.672342116,500000,0.059538,3.35E-04,14,1531
non-monotonic_attraction,bf_u0,0.66405201,0.006064894,0.654077092,0.674093055,500000,0.056604,3.22E-04,5,3183
repulsion,bf_u0,0.664303675,0.003872607,0.65803736,0.670647364,500000,0.132036,4.79E-04,14,3572
attraction,bf_u0,0.66449561,0.003799208,0.658483149,0.6707927,500000,0.131426,4.70E-04,2,1101
repulsion,bf_00',0.664572396,0.00517939,0.65612306,0.673005176,500000,0.060168,3.41E-04,5,746
attraction,bf_u0,0.664576417,0.003897354,0.658216196,0.670830641,500000,0.130128,4.75E-04,5,1302
non-monotonic_attraction,bf_u0,0.664850907,0.006163061,0.655013834,0.675012463,500000,0.056542,3.27E-04,14,1562
attraction,bf_0u,0.66554815,0.004857915,0.657562949,0.673549411,500000,0.057916,3.32E-04,9,3251
non-monotonic_repulsion,bf_u0,0.66611936,0.006197284,0.656061985,0.676543072,500000,0.056032,3.28E-04,9,2376
similarity,bf_u0,0.666666667,0.163742896,0.45366425,0.993622028,500000,9.00E-05,1.37E-05,2,1733
repulsion,bf_u0,0.666701973,0.003794135,0.660408974,0.672733351,500000,0.132176,4.81E-04,9,746
repulsion,bf_u0,0.667036913,0.003840028,0.660633464,0.673255404,500000,0.131444,4.74E-04,9,1803
repulsion,bf_u0,0.667108202,0.003919052,0.660787081,0.673587185,500000,0.12985,4.72E-04,5,1066
attraction,bf_00',0.667502735,0.005268684,0.658951542,0.676155778,500000,0.05994,3.37E-04,2,3572
repulsion,bf_00',0.667619287,0.00514585,0.659160751,0.675890117,500000,0.059964,3.35E-04,5,1031
attraction,bf_0u,0.6678153,0.00489905,0.659561246,0.675698546,500000,0.05814,3.31E-04,5,902
repulsion,bf_00',0.667987164,0.005199648,0.659312765,0.67643881,500000,0.059614,3.37E-04,14,826
attraction,bf_u0,0.668124683,0.003944272,0.661821993,0.674881435,500000,0.130314,4.78E-04,2,2501
non-monotonic_attraction,bf_u0,0.668149941,0.006071154,0.658130931,0.67821766,500000,0.056182,3.30E-04,9,371
repulsion,bf_u0,0.66848003,0.003984759,0.661737637,0.675056206,500000,0.129042,4.75E-04,2,1856
non-monotonic_repulsion,bf_u0,0.668520148,0.00610229,0.658526276,0.67871584,500000,0.05683,3.28E-04,5,136
repulsion,bf_0u,0.66869914,0.004826999,0.660707984,0.676774977,500000,0.058344,3.28E-04,5,261
non-monotonic_repulsion,bf_00',0.668815685,0.007862369,0.655706999,0.681437974,500000,0.025492,2.21E-04,14,1781
attraction,bf_00',0.66934172,0.005228224,0.660614235,0.677919895,500000,0.059932,3.36E-04,2,3572
non-monotonic_attraction,bf_0u,0.669450389,0.007370844,0.657459697,0.682251305,500000,0.025652,2.24E-04,5,2121
non-monotonic_attraction,bf_0u,0.669529262,0.00752782,0.657346803,0.681815232,500000,0.02526,2.19E-04,9,3196
attraction,bf_0u,0.669617466,0.00488036,0.661422661,0.67777296,500000,0.058396,3.30E-04,2,1773
attraction,bf_00',0.669633887,0.005228714,0.661201587,0.678304905,500000,0.060384,3.30E-04,2,1941
repulsion,bf_00',0.669678992,0.005158488,0.661324549,0.678117358,500000,0.060456,3.38E-04,2,3153
repulsion,bf_0u,0.669896226,0.004768096,0.66210551,0.677264054,500000,0.058356,3.35E-04,2,3113
repulsion,bf_0u,0.670190713,0.005018329,0.661962987,0.678865654,500000,0.058194,3.35E-04,5,2171
attraction,bf_u0,0.670644613,0.00390464,0.664297421,0.677205001,500000,0.12938,4.79E-04,2,3062
attraction,bf_u0,0.670749246,0.004018436,0.664190307,0.677455228,500000,0.12933,4.89E-04,2,831
non-monotonic_repulsion,bf_u0,0.670834078,0.006147131,0.661067592,0.681409332,500000,0.05599,3.23E-04,5,401
attraction,bf_u0,0.671038937,0.003910443,0.664660075,0.677491193,500000,0.130672,4.75E-04,2,2501
repulsion,bf_u0,0.671805149,0.00403917,0.664952455,0.678469657,500000,0.12974,4.78E-04,5,3073
repulsion,bf_0u,0.6719522,0.00497317,0.663883716,0.680241905,500000,0.05848,3.36E-04,14,2886
non-monotonic_repulsion,bf_u0,0.672001987,0.006244475,0.661975403,0.682556487,500000,0.056354,3.23E-04,2,2163
attraction,bf_u0,0.672008778,0.003870189,0.665508399,0.678378612,500000,0.129412,4.73E-04,2,831
attraction,bf_u0,0.672116625,0.003899443,0.66593993,0.678612474,500000,0.128686,4.73E-04,2,1011
similarity,bf_u0,0.672131148,0.135970027,0.48514697,0.931888036,500000,1.22E-04,1.59E-05,2,282
non-monotonic_attraction,bf_00',0.67223175,0.00763463,0.660022338,0.684890793,500000,0.025674,2.19E-04,5,2661
attraction,bf_00',0.67264014,0.005189346,0.664153818,0.681066524,500000,0.06068,3.39E-04,2,2022
repulsion,bf_00',0.672671088,0.005188284,0.664076583,0.681268353,500000,0.060416,3.36E-04,2,862
repulsion,bf_u0,0.672804511,0.003940762,0.666402955,0.679158589,500000,0.12947,4.70E-04,9,3781
attraction,bf_u0,0.673830614,0.003883168,0.667380343,0.680139578,500000,0.1287,4.68E-04,14,3743
repulsion,bf_00',0.67424206,0.00531756,0.665514672,0.682940714,500000,0.06038,3.37E-04,9,1693
repulsion,bf_0u,0.674400423,0.004924149,0.666371725,0.682435481,500000,0.058658,3.29E-04,2,273
non-monotonic_attraction,bf_00',0.674441568,0.007605593,0.661984861,0.686983984,500000,0.026048,2.26E-04,14,472
attraction,bf_0u,0.674567146,0.004914903,0.666422237,0.682717875,500000,0.059142,3.37E-04,2,191
non-monotonic_attraction,bf_00',0.674710801,0.007936325,0.661989416,0.688010191,500000,0.025852,2.26E-04,5,1856
attraction,bf_0u,0.67509075,0.004791246,0.667558978,0.682940594,500000,0.058768,3.34E-04,2,1832
non-monotonic_repulsion,bf_u0,0.675405609,0.006137684,0.665189908,0.6855475,500000,0.055842,3.25E-04,5,631
non-monotonic_attraction,bf_u0,0.676038546,0.006256122,0.665691859,0.686413795,500000,0.055414,3.23E-04,9,312
non-monotonic_repulsion,bf_00',0.676121914,0.007651189,0.663809858,0.689014978,500000,0.025852,2.27E-04,2,1273
repulsion,bf_00',0.676740341,0.005363917,0.668093246,0.685686855,500000,0.060338,3.41E-04,9,273
repulsion,bf_0u,0.676823554,0.004885131,0.669084315,0.685098175,500000,0.059218,3.30E-04,9,1441
repulsion,bf_u0,0.67685935,0.003926742,0.670599615,0.683366582,500000,0.128916,4.77E-04,5,1722
repulsion,bf_0u,0.676982369,0.004928898,0.669033397,0.685227078,500000,0.05867,3.35E-04,2,3766
non-monotonic_repulsion,bf_0u,0.677258236,0.00771945,0.664411336,0.689636532,500000,0.025492,2.21E-04,14,1781
attraction,bf_00',0.677445619,0.005197598,0.669064849,0.686095096,500000,0.060846,3.39E-04,5,1751
attraction,bf_0u,0.677454947,0.004882039,0.669607165,0.685340906,500000,0.058944,3.36E-04,5,2803
attraction,bf_0u,0.677687851,0.004904556,0.669809678,0.685892603,500000,0.058948,3.32E-04,9,1983
non-monotonic_attraction,bf_00',0.677751929,0.00791951,0.664727147,0.690569408,500000,0.025978,2.27E-04,14,1136
non-monotonic_repulsion,bf_00',0.677782503,0.00781041,0.665055546,0.690998375,500000,0.025818,2.28E-04,2,3672
attraction,bf_u0,0.677904011,0.003932814,0.671440806,0.684463451,500000,0.12939,4.75E-04,2,3062
repulsion,bf_u0,0.677967955,0.00400489,0.671407774,0.68452996,500000,0.128068,4.70E-04,2,3561
attraction,bf_0u,0.678089901,0.004830912,0.67022498,0.686139321,500000,0.059044,3.30E-04,2,1381
attraction,bf_0u,0.678704943,0.004859472,0.670750778,0.686996967,500000,0.058822,3.30E-04,2,1381
repulsion,bf_u0,0.678840643,0.004011385,0.672299228,0.68542677,500000,0.128416,4.74E-04,14,2406
attraction,bf_u0,0.679235032,0.003928446,0.672858615,0.685835076,500000,0.128842,4.63E-04,14,2653
non-monotonic_attraction,bf_00',0.679261516,0.007864887,0.666755627,0.692625862,500000,0.025518,2.21E-04,2,2481
repulsion,bf_0u,0.679361037,0.004909989,0.671410648,0.687436461,500000,0.05869,3.31E-04,9,436
repulsion,bf_0u,0.679626288,0.004922937,0.671576633,0.687681532,500000,0.059504,3.38E-04,2,371
non-monotonic_attraction,bf_00',0.67980574,0.00776109,0.667116229,0.692346274,500000,0.025868,2.26E-04,2,53
repulsion,bf_u0,0.679861122,0.003945772,0.673369361,0.686392806,500000,0.127882,4.69E-04,14,93
attraction,bf_u0,0.67993201,0.004095415,0.673210942,0.686734608,500000,0.128254,4.65E-04,2,1011
similarity,bf_u0,0.68,0.153655742,0.467984771,0.966962931,500000,1.00E-04,1.44E-05,9,1211
