model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
non-monotonic_attraction,bf_0u,1.04E-04,8.23E-05,3.11E-05,2.87E-04,500000,4.00E-06,3.06E-06,9,241
non-monotonic_attraction,bf_0u,1.05E-04,7.96E-05,3.19E-05,2.82E-04,500000,4.00E-06,3.16E-06,5,2941
non-monotonic_attraction,bf_0u,1.05E-04,8.21E-05,3.02E-05,2.90E-04,500000,4.00E-06,3.20E-06,9,502
non-monotonic_attraction,bf_0u,1.06E-04,8.27E-05,3.00E-05,2.90E-04,500000,4.00E-06,3.16E-06,5,2501
non-monotonic_attraction,bf_0u,1.06E-04,8.12E-05,3.18E-05,2.83E-04,500000,4.00E-06,3.24E-06,9,3153
non-monotonic_attraction,bf_0u,1.06E-04,8.31E-05,2.81E-05,2.92E-04,500000,4.00E-06,3.22E-06,2,2406
non-monotonic_attraction,bf_0u,1.07E-04,8.45E-05,3.26E-05,3.01E-04,500000,4.00E-06,3.18E-06,2,612
similarity,bf_00',1.46E-04,1.83E-04,2.41E-05,5.71E-04,70000000,1.43E-08,1.71E-08,9,2081
similarity,bf_0u,1.46E-04,1.83E-04,2.41E-05,5.71E-04,70000000,1.43E-08,1.71E-08,9,2081
non-monotonic_attraction,bf_00',1.51E-04,9.41E-05,5.46E-05,3.50E-04,500000,6.00E-06,3.72E-06,9,3202
non-monotonic_attraction,bf_00',1.52E-04,9.53E-05,5.36E-05,3.58E-04,500000,6.00E-06,3.75E-06,2,783
non-monotonic_attraction,bf_00',1.53E-04,9.60E-05,5.55E-05,3.60E-04,500000,6.00E-06,3.78E-06,5,2582
non-monotonic_attraction,bf_00',1.53E-04,9.73E-05,5.32E-05,3.64E-04,500000,6.00E-06,3.67E-06,5,2103
non-monotonic_attraction,bf_00',1.53E-04,9.33E-05,5.30E-05,3.55E-04,500000,6.00E-06,3.73E-06,5,292
non-monotonic_attraction,bf_00',1.54E-04,9.59E-05,5.70E-05,3.54E-04,500000,6.00E-06,3.70E-06,14,2712
non-monotonic_attraction,bf_00',1.54E-04,9.70E-05,5.86E-05,3.63E-04,500000,6.00E-06,3.70E-06,5,3051
non-monotonic_attraction,bf_00',1.54E-04,9.35E-05,5.70E-05,3.57E-04,500000,6.00E-06,3.68E-06,14,1201
similarity,bf_00',1.55E-04,2.04E-04,3.00E-05,6.45E-04,70000000,1.43E-08,1.77E-08,14,3251
similarity,bf_0u,1.55E-04,2.04E-04,3.00E-05,6.45E-04,70000000,1.43E-08,1.77E-08,14,3251
non-monotonic_attraction,bf_0u,1.57E-04,9.79E-05,5.68E-05,3.63E-04,500000,6.00E-06,3.72E-06,9,3202
non-monotonic_attraction,bf_0u,1.58E-04,9.91E-05,5.57E-05,3.72E-04,500000,6.00E-06,3.75E-06,2,783
non-monotonic_attraction,bf_0u,1.59E-04,9.98E-05,5.77E-05,3.74E-04,500000,6.00E-06,3.78E-06,5,2582
non-monotonic_attraction,bf_0u,1.59E-04,1.01E-04,5.53E-05,3.78E-04,500000,6.00E-06,3.67E-06,5,2103
non-monotonic_attraction,bf_0u,1.59E-04,9.69E-05,5.51E-05,3.69E-04,500000,6.00E-06,3.73E-06,5,292
non-monotonic_attraction,bf_0u,1.60E-04,9.97E-05,5.93E-05,3.67E-04,500000,6.00E-06,3.70E-06,14,2712
non-monotonic_attraction,bf_0u,1.60E-04,1.01E-04,6.08E-05,3.77E-04,500000,6.00E-06,3.70E-06,5,3051
non-monotonic_attraction,bf_0u,1.60E-04,9.71E-05,5.92E-05,3.71E-04,500000,6.00E-06,3.68E-06,14,1201
similarity,bf_00',1.66E-04,2.10E-04,3.07E-05,6.61E-04,70000000,1.43E-08,1.80E-08,9,2501
similarity,bf_0u,1.66E-04,2.10E-04,3.07E-05,6.61E-04,70000000,1.43E-08,1.80E-08,9,2501
similarity,bf_00',1.88E-04,2.40E-04,3.25E-05,7.89E-04,70000000,1.43E-08,1.78E-08,5,2493
similarity,bf_0u,1.88E-04,2.40E-04,3.25E-05,7.89E-04,70000000,1.43E-08,1.78E-08,5,2493
similarity,bf_00',1.89E-04,2.42E-04,2.84E-05,7.54E-04,60000000,1.67E-08,2.06E-08,9,693
similarity,bf_0u,1.89E-04,2.42E-04,2.84E-05,7.54E-04,60000000,1.67E-08,2.06E-08,9,693
non-monotonic_attraction,bf_00',2.03E-04,1.06E-04,8.41E-05,4.23E-04,500000,8.00E-06,4.36E-06,5,3811
non-monotonic_attraction,bf_00',2.04E-04,1.11E-04,8.13E-05,4.36E-04,500000,8.00E-06,4.32E-06,5,1976
similarity,bf_00',2.04E-04,2.52E-04,3.28E-05,8.15E-04,70000000,1.43E-08,1.79E-08,14,711
similarity,bf_0u,2.04E-04,2.52E-04,3.28E-05,8.15E-04,70000000,1.43E-08,1.79E-08,14,711
non-monotonic_attraction,bf_00',2.06E-04,1.08E-04,8.46E-05,4.32E-04,500000,8.00E-06,4.15E-06,2,3811
similarity,bf_00',2.08E-04,2.68E-04,3.54E-05,8.43E-04,60000000,1.67E-08,2.02E-08,14,1463
similarity,bf_0u,2.08E-04,2.68E-04,3.54E-05,8.43E-04,60000000,1.67E-08,2.02E-08,14,1463
similarity,bf_00',2.10E-04,2.80E-04,3.27E-05,8.76E-04,70000000,1.43E-08,1.75E-08,5,182
similarity,bf_0u,2.10E-04,2.80E-04,3.27E-05,8.76E-04,70000000,1.43E-08,1.75E-08,5,182
attraction,bf_00',2.10E-04,6.86E-05,1.18E-04,3.43E-04,500000,2.00E-05,6.42E-06,2,2926
non-monotonic_attraction,bf_0u,2.11E-04,1.10E-04,8.74E-05,4.39E-04,500000,8.00E-06,4.36E-06,5,3811
non-monotonic_attraction,bf_0u,2.12E-04,1.15E-04,8.45E-05,4.53E-04,500000,8.00E-06,4.32E-06,5,1976
non-monotonic_attraction,bf_0u,2.14E-04,1.12E-04,8.79E-05,0.000448912,500000,8.00E-06,4.15E-06,2,3811
attraction,bf_0u,2.30E-04,7.51E-05,1.30E-04,3.75E-04,500000,2.00E-05,6.42E-06,2,2926
similarity,bf_00',2.31E-04,3.07E-04,3.89E-05,9.83E-04,60000000,1.67E-08,2.07E-08,9,1331
similarity,bf_0u,2.31E-04,3.07E-04,3.89E-05,9.83E-04,60000000,1.67E-08,2.07E-08,9,1331
