sub_n,distance,model,obs,pred,ppp
2132,2,attraction,6.617857452401731,5.0187800944419125,0.34852970594118826
2143,2,attraction,4.202126337658998,5.009752526739589,0.5937387477495499
2156,2,attraction,4.028090030929819,4.9905018345002015,0.6118423684736948
2163,2,attraction,6.223303772428714,5.005441745731739,0.3744148829765953
2171,2,attraction,5.2631719151785745,5.000578182749112,0.48589717943588717
2183,2,attraction,4.3044104998253125,4.997299788954029,0.5791958391678336
2196,2,attraction,4.9447420681636975,4.988345210670694,0.5149829965993199
2223,2,attraction,5.051592500150387,4.993705600406313,0.5099419883976796
2236,2,attraction,6.482212468960175,5.006093999249211,0.3672334466893379
2251,2,attraction,3.9483793465183057,5.018626353482816,0.6233246649329865
2263,2,attraction,3.9044265074594984,5.008510387370231,0.6264252850570114
2276,2,attraction,4.588031415079615,5.01647051167193,0.5564112822564513
2281,2,attraction,4.600271580451963,4.997946186657713,0.550250050010002
2293,2,attraction,7.742971219336354,4.986432784681617,0.265253050610122
2306,2,attraction,5.1095572860364245,4.972993032320038,0.4934786957391478
2313,2,attraction,6.5374515361109555,4.991651625700358,0.3449689937987597
2321,2,attraction,4.417760864607718,5.01678513861093,0.5756751350270054
2333,2,attraction,4.685669223981685,5.010738416272429,0.5381876375275055
2346,2,attraction,4.493367782908246,4.977021444206973,0.5595519103820764
2363,2,attraction,4.762880092068303,4.990231756008665,0.5365473094618923
2376,2,attraction,5.401717582133598,5.017772746085854,0.474374874974995
2381,2,attraction,4.027759795716618,4.993980081107717,0.6130226045209042
2393,2,attraction,4.0839463144657575,4.978016150491473,0.6068213642728546
2406,2,attraction,4.751114313169536,4.99438027497711,0.5381276255251051
2411,2,attraction,7.384490621272464,5.012928604865841,0.27257451490298057
2423,2,attraction,8.089640637286534,4.993239241559929,0.22514502900580116
2441,2,attraction,5.124418085571292,5.013252414984653,0.49475895179035806
2453,2,attraction,4.177091351663266,5.008010493913091,0.5942588517703541
2466,2,attraction,5.157711753971957,5.012329287855225,0.49179835967193436
2471,2,attraction,4.377177158617023,4.99748462582551,0.5726745349069814
2481,2,attraction,5.4136357063481295,4.985626117263831,0.46143228645729145
2493,2,attraction,4.397485710600377,5.029564731594828,0.576995399079816
2501,2,attraction,5.539190374642068,4.997718202186353,0.41794358871774356
2512,2,attraction,5.51437517112572,5.010766186376731,0.4631526305261052
2523,2,attraction,4.452713034152261,5.005500158209865,0.5663532706541309
2532,2,attraction,4.007541709442464,4.980641143620971,0.6179835967193439
2541,2,attraction,6.442789293940726,5.008155549470212,0.3624724944988998
2553,2,attraction,4.277141246913686,5.010254523608581,0.5824364872974594
2566,2,attraction,8.442895408720263,4.992214253040174,0.20812162432486497
2571,2,attraction,7.613405544487707,5.015816842722811,0.27065413082616524
2582,2,attraction,6.473616518607862,4.974515326376591,0.3710742148429686
2593,2,attraction,4.607006468393138,4.958821948092114,0.5408281656331266
2601,2,attraction,8.384864312768988,4.999807441699432,0.21042208441688337
2612,2,attraction,5.084911430061296,4.9923752261846355,0.5006401280256051
2631,2,attraction,4.819825766117661,5.001125917808307,0.5264452890578115
2642,2,attraction,9.753034422074176,5.001986076051102,0.12434486897379476
2653,2,attraction,5.319246477508874,5.027057305355437,0.4807961592318464
2661,2,attraction,4.390251638285253,5.015429790865227,0.5786357271454291
2672,2,attraction,6.001872404107734,4.985142805214365,0.40476095219043806
2681,2,attraction,4.0856365539583575,4.9924866103879095,0.5998999799959992
2692,2,attraction,4.587766899612198,5.011397728211861,0.5562712542508502
2693,2,attraction,4.038640208032291,5.008297775742776,0.6138027605521105
2701,2,attraction,4.631155236644695,4.985413923189063,0.5465293058611722
2712,2,attraction,7.084657970629143,5.001341542538144,0.30332066413282655
2723,2,attraction,5.1069111387421495,5.006300665474599,0.5033606721344269
2736,2,attraction,6.050563823918602,4.988669986298826,0.3932986597319464
2752,2,attraction,6.361408749987956,4.980442382679554,0.33730746149229845
2763,2,attraction,5.401364735663442,4.986548885386791,0.46845369073814763
2781,2,attraction,4.1590700297104455,4.995001943459106,0.594498899779956
2792,2,attraction,4.536491332770843,5.003869549957672,0.5463892778555711
2803,2,attraction,3.9812879022011565,4.9890013577367585,0.61750350070014
2816,2,attraction,4.377543787097284,5.005385113159268,0.5744348869773955
2821,2,attraction,7.850551839557411,5.030381151993136,0.2411482296459292
2831,2,attraction,4.392995739501269,4.975669045527473,0.5715143028605721
2842,2,attraction,4.0721250319796045,4.9901877834722175,0.6083016603320665
2861,2,attraction,5.756977831416667,4.994922396292055,0.4284856971394279
2872,2,attraction,6.0479176940696115,4.999905873762469,0.39665933186637325
2886,2,attraction,4.273367680509108,4.999610630544171,0.5926585317063413
2893,2,attraction,8.537250799311032,5.000269179323536,0.19327865573114622
2902,2,attraction,5.130979932183503,5.020858126813566,0.5015603120624125
2911,2,attraction,4.212725385933561,5.008185673372254,0.5915983196639328
2926,2,attraction,20.03210078345714,5.02008964859726,0.0039807961592318464
2933,2,attraction,5.599921459399864,4.97543354419388,0.4447089417883577
2941,2,attraction,12.13237414036567,4.9867025691787985,0.05565113022604521
2961,2,attraction,7.558890962492347,5.031768680526268,0.2796959391878376
2972,2,attraction,4.615948416491199,4.995410870738065,0.547129425885177
2981,2,attraction,4.072101171862855,4.976108102835655,0.601000200040008
2992,2,attraction,4.417826842720085,5.012956647354633,0.5738147629525905
3003,2,attraction,8.747193859055255,5.030477086353659,0.19775955191038208
3011,2,attraction,4.299294988561377,5.001104609859724,0.579255851170234
3046,2,attraction,6.034848923102726,4.9882796350537895,0.40178035607121426
3051,2,attraction,6.574021138394025,5.007658018911892,0.3549109821964393
3062,2,attraction,5.021281560617466,5.010513644607412,0.5125625125025005
3073,2,attraction,7.361248525140514,4.979500596276108,0.2884376875375075
3082,2,attraction,6.122282122113543,4.963533063693797,0.38845769153830767
3091,2,attraction,7.842189192921139,5.02011843429536,0.23998799759951991
3102,2,attraction,4.010397634292078,4.990503846774639,0.6178835767153431
3113,2,attraction,6.266158382757136,5.017275947303734,0.38621724344868974
3126,2,attraction,4.7507801908781415,5.002182171231207,0.5346069213842769
3131,2,attraction,4.330241278621303,4.997540432619856,0.5832366473294659
3142,2,attraction,5.896211886537605,4.988820779431645,0.40692138427685537
3153,2,attraction,5.885004223349786,4.982120904275937,0.4173234646929386
3172,2,attraction,5.6528911003000655,4.990703800797476,0.4375275055011002
3183,2,attraction,6.863043060363501,4.987257022816671,0.32570514102820564
3196,2,attraction,5.1900177547299515,4.99214988064922,0.4876375275055011
3202,2,attraction,4.470938030556214,5.00704259419429,0.5666333266653331
3211,2,attraction,7.761875327167694,4.996411026908562,0.2440488097619524
3223,2,attraction,5.348797216202083,5.001481638203429,0.4744748949789958
3236,2,attraction,4.679458872305419,4.994339159029107,0.5442088417683537
3251,2,attraction,4.654478947103584,4.997184810777736,0.548629725945189
3252,2,attraction,6.930036001644996,4.982566438498338,0.3333666733346669
3262,2,attraction,4.33313277243159,5.02917936083677,0.5823364672934587
3273,2,attraction,7.090639636378757,5.012309196925114,0.3048009601920384
3286,2,attraction,6.444250848714542,4.9828779611343315,0.3658931786357271
3291,2,attraction,4.4375554026905775,4.978116960309991,0.5628525705141029
3302,2,attraction,5.401890341143319,5.004860905635712,0.4599519903980796
3313,2,attraction,9.10576284838445,5.008182374406429,0.16257251450290058
3321,2,attraction,4.616294879400256,4.9887393390653845,0.5509501900380076
3332,2,attraction,5.193424185888401,4.997871789581912,0.49687937587517506
3343,2,attraction,5.596971406127604,5.003647988459691,0.4546509301860372
3356,2,attraction,4.082831898070763,5.013814733410574,0.6068613722744549
3361,2,attraction,5.87934033640645,5.012102292102847,0.427125425085017
3372,2,attraction,4.993303333742444,4.978857348482012,0.5104220844168834
3383,2,attraction,8.855595676924805,5.000140181721274,0.1785757151430286
3396,2,attraction,5.189614817674366,4.995454288816154,0.49215843168633727
3401,2,attraction,8.458199369745099,4.989715939219859,0.20698139627925585
3412,2,attraction,6.35994823985575,4.9883402521045435,0.37201440288057613
3423,2,attraction,4.449142576100858,5.003760911129391,0.5714542908581717
3431,2,attraction,5.12189054562191,4.998230109143117,0.4899779955991198
3442,2,attraction,5.682285450341951,5.012005878394985,0.4348869773954791
3453,2,attraction,6.295356310580961,4.977632095197381,0.37745549109821963
3471,2,attraction,4.17290051935502,5.014773001767946,0.5973594718943789
3482,2,attraction,5.065972334638238,5.003479418886455,0.5007401480296059
3493,2,attraction,4.75206298040351,4.973682068314261,0.5307861572314463
3501,2,attraction,7.03724081739159,4.96417433229005,0.3106021204240848
3512,2,attraction,4.857876329210099,5.018128113028556,0.5245249049809962
3523,2,attraction,4.288276166625608,5.0016198621188765,0.5857571514302861
3531,2,attraction,4.8632224128058885,5.00050316877173,0.5212242448489698
